Rue;Code Bureau;Bureau de Vote;Score Priorité;Nb Électeurs;Nb Foyers;Électeurs/Foyer;Âge Moyen;% Natifs Vendée;% Hommes
RUE DES JARDINS (85100);8;ECOLE MATERNELLE DES JARDINS;27,15;28;16;1,75;73,25;28,57;42,86
RUE DES MOUSQUETAIRES (85100);10;HOTEL DE VILLE N°2;27,14;17;13;1,31;62,94;0,00;52,94
RUE JOSEPH CUGNOT (85180);21;LA MAISON DES SPORTS;27,12;19;12;1,58;68,79;36,84;68,42
IMPASSE EMMANUEL CHABRIER (85180);16;ECOLE PRIMAIRE DES NOUETTES;27,12;15;9;1,67;69,93;53,33;40,00
RUE DES HUNIERS (85100);11;CENTRE DE LOISIRS DE L'ARMANDECHE N°2;27,12;31;21;1,48;68,26;41,94;41,94
BOULEVARD DE LATTRE DE TASSIGNY [CHATEAU D'OLONNE] (85180);20;COLONIE KER-NETRA;27,11;10;6;1,67;69,30;30,00;50,00
RUE BERNICOT (85100);12;SALLE DES FETES DE LA CHAUME N°2;27,11;12;12;1,00;56,25;16,67;66,67
ALLEE DES SALICORNES (85340);31;LE STELLA;27,07;11;8;1,38;63,73;72,73;36,36
RUE JACQUES CARTIER (85180);18;ECOLE MATERNELLE DE LA PIRONNIERE;27,07;15;8;1,88;74,27;33,33;40,00
RUE DES MARCHAIS (85180);19;ECOLE PRIMAIRE DE LA PIRONNIERE;27,06;26;15;1,73;72,92;30,77;46,15
RUE DE LA CROISEE (85180);19;ECOLE PRIMAIRE DE LA PIRONNIERE;27,06;19;11;1,73;71,89;42,11;42,11
RUE GUY MIGNONNEAU (85100);4;ECOLE MATERNELLE CLEMENCEAU;27,04;24;17;1,41;66,29;29,17;45,83
RUE EUGENE DELACROIX (85180);15;GALERIE DES RIAUX;27,04;15;10;1,50;66,87;13,33;53,33
RUE DE L'ARBALETE (85340);25;MAIRIE ANNEXE D'OLONNE SUR MER ;27,03;20;12;1,67;70,90;35,00;45,00
RUE HYACINTHE RIGAUD (85180);15;GALERIE DES RIAUX;26,99;33;20;1,65;72,42;39,39;42,42
RUE JACQUES DAGUERRE (85180);17;CENTRE DE LOISIRS DES PLESSES;26,97;11;7;1,57;68,00;54,55;45,45
RUE COLLINET (85100);5;CENTRE DE LOISIRS DE L'ARMANDECHE N°1;26,96;10;9;1,11;58,70;50,00;20,00
RUE DE L'AQUEDUC (85100);6;SALLE DES FETES DE LA CHAUME N°1;26,96;17;10;1,70;71,41;23,53;41,18
RUE CHATEAUBRIAND (85340);28;GROUPE SCOLAIRE R.G.CADOU N°1;26,95;21;15;1,40;65,95;57,14;47,62
RUE DE LA CABOSSE (85100);6;SALLE DES FETES DE LA CHAUME N°1;26,95;22;13;1,69;71,95;27,27;40,91
RUE DES ABYSSES (85180);35;SALLE AUDUBON N°2;26,93;28;20;1,40;66,96;28,57;60,71
ALLEE DE SAINT-GILLES (85180);20;COLONIE KER-NETRA;26,91;16;10;1,60;69,44;62,50;50,00
RUE JOSEPH MARIE GAUDIN (85100);9;OFFICE DU TOURISME DE LA GARE ;26,90;29;21;1,38;66,83;31,03;44,83
RUE DE LA SAUZAIE (85340);27; GYMNASE DES CHIRONS;26,89;18;12;1,50;67,78;22,22;55,56
RUE DES CAPUCINES (85340);28;GROUPE SCOLAIRE R.G.CADOU N°1;26,87;19;13;1,46;67,21;52,63;47,37
AVENUE RENE COTY (85180);35;SALLE AUDUBON N°2;26,85;40;32;1,25;65,83;45,00;32,50
RUE DES FLOTS (85100);5;CENTRE DE LOISIRS DE L'ARMANDECHE N°1;26,85;20;14;1,43;66,75;30,00;40,00
RUE DES FIGUIERS (85100);12;SALLE DES FETES DE LA CHAUME N°2;26,85;49;32;1,53;72,67;40,82;44,90
PASSAGE DU TAPE CUL (85100);12;SALLE DES FETES DE LA CHAUME N°2;26,83;10;10;1,00;56,90;20,00;70,00
AVENUE DE TANCHET (85100);35;SALLE AUDUBON N°2;26,80;45;33;1,36;68,93;46,67;40,00
RUE FRANCOIS VILLON (85340);28;GROUPE SCOLAIRE R.G.CADOU N°1;26,78;22;16;1,38;66,18;59,09;36,36
IMPASSE PIERRE BONNEAU (85100);12;SALLE DES FETES DE LA CHAUME N°2;26,77;13;9;1,44;66,38;38,46;30,77
ALLEE DES DAPHNES [OLONNE SUR MER] (85340);34;CENTRE JEAN DE LA FONTAINE ;26,77;10;8;1,25;62,10;40,00;60,00
RUE DE LA HUNE (85180);18;ECOLE MATERNELLE DE LA PIRONNIERE;26,77;13;8;1,63;70,00;30,77;30,77
AVENUE FLEURIE (85100);7;SALLE AUDUBON N°1;26,75;40;29;1,38;68,75;32,50;47,50
RUE DE LA PLANTE (85340);27; GYMNASE DES CHIRONS;26,73;29;18;1,61;72,00;44,83;55,17
RUE DES MIRABELLIERS (85340);30;OLONNESPACE;26,72;15;10;1,50;67,93;53,33;53,33
IMPASSE PAUL VERLAINE (85180);19;ECOLE PRIMAIRE DE LA PIRONNIERE;26,68;20;13;1,54;69,50;15,00;50,00
RUE DE LA BRETAUDIERE (85180);17;CENTRE DE LOISIRS DES PLESSES;26,66;16;9;1,78;73,81;37,50;50,00
RUE D'OLONNE (85180);22;SALLE CALIXTE-AIME PLISSONNEAU N°2;26,66;25;18;1,39;67,24;60,00;44,00
AVENUE DU COLOMBIER (85180);20;COLONIE KER-NETRA;26,66;18;13;1,38;66,22;33,33;38,89
RUE JEAN-PIERRE FLORIAN (85180);13;MAIRIE ANNEXE DU CHATEAU D'OLONNE;26,64;29;18;1,61;72,28;68,97;44,83
RUE DES RENONCULES (85340);27; GYMNASE DES CHIRONS;26,64;27;17;1,59;71,56;44,44;44,44
IMPASSE TINO ROSSI (85180);36;ECOLE PRIMAIRE RENE MILLET ;26,61;12;10;1,20;61,92;16,67;50,00
RUE ACHILLE DUCLOS (85100);4;ECOLE MATERNELLE CLEMENCEAU;26,60;26;16;1,63;72,31;34,62;46,15
IMPASSE RENÉ COUZINET (85180);3;CONSERVATOIRE MARIN MARAIS;26,60;13;10;1,30;64,08;38,46;53,85
RUE DE L'EGLISE (85100);1;HOTEL DE VILLE;26,58;19;13;1,46;68,16;31,58;47,37
RUE DU RALLYE (85180);35;SALLE AUDUBON N°2;26,58;36;26;1,38;68,89;25,00;33,33
IMPASSE NICOLAS BOILEAU (85180);16;ECOLE PRIMAIRE DES NOUETTES;26,58;11;8;1,38;65,36;54,55;27,27
RUE FRANÇOIS GUIZOT (85340);28;GROUPE SCOLAIRE R.G.CADOU N°1;26,57;24;15;1,60;71,63;16,67;54,17
RUE DENIS PAPIN (85180);17;CENTRE DE LOISIRS DES PLESSES;26,55;23;16;1,44;68,30;34,78;26,09
