Rue;Code Bureau;Bureau de Vote;Score Priorité;Nb Électeurs;Nb Foyers;Électeurs/Foyer;Âge Moyen;% Natifs Vendée;% Hommes
IMPASSE DES SITTELLES (85180);17;CENTRE DE LOISIRS DES PLESSES;24,77;16;10;1,60;76,56;18,75;56,25
IMPASSE DE L'ALBATROS (85180);13;MAIRIE ANNEXE DU CHATEAU D'OLONNE;24,74;14;9;1,56;75,50;21,43;28,57
IMPASSE DES COMMUNAUX (85340);27; GYMNASE DES CHIRONS;24,70;14;9;1,56;75,64;50,00;42,86
RUE JULES FERRY (85180);19;ECOLE PRIMAIRE DE LA PIRONNIERE;24,64;12;7;1,71;78,75;41,67;41,67
RUE DU GENERAL DE MONTCALM (85180);18;ECOLE MATERNELLE DE LA PIRONNIERE;24,63;13;9;1,44;73,54;23,08;53,85
RUE DE L'AMIDONNERIE (85100);8;ECOLE MATERNELLE DES JARDINS;24,58;13;9;1,44;73,69;38,46;46,15
RUE DU BOULET ROUGE (85100);1;HOTEL DE VILLE;24,54;15;11;1,36;72,47;20,00;40,00
RUE CAMILLE COROT (85180);15;GALERIE DES RIAUX;24,35;10;6;1,67;78,50;30,00;60,00
RUE DE LA REPUBLIQUE (85180);20;COLONIE KER-NETRA;24,32;19;15;1,27;71,79;31,58;42,11
RUE DES HIBISCUS (85180);18;ECOLE MATERNELLE DE LA PIRONNIERE;24,22;11;9;1,22;70,18;36,36;45,45
ALLEE DE LA PASTOURELLE (85100);6;SALLE DES FETES DE LA CHAUME N°1;24,18;16;11;1,45;75,63;31,25;56,25
PLACE DES VENDEENS (85100);7;SALLE AUDUBON N°1;24,15;11;6;1,83;82,64;0,00;45,45
AVENUE DU PAS DU BOIS [CHATEAU D'OLONNE] (85180);36;ECOLE PRIMAIRE RENE MILLET ;24,13;12;9;1,33;72,83;33,33;33,33
CITE ST ARMEL (85100);9;OFFICE DU TOURISME DE LA GARE ;24,10;21;19;1,11;69,57;76,19;33,33
RUE DU GENERAL DROUOT (85180);18;ECOLE MATERNELLE DE LA PIRONNIERE;24,06;13;10;1,30;72,54;30,77;23,08
ALLEE DES MOUSQUETAIRES (85100);10;HOTEL DE VILLE N°2;23,92;24;17;1,41;76,71;16,67;33,33
RUE DU BOCAGE [CHATEAU D'OLONNE] (85180);21;LA MAISON DES SPORTS;23,85;23;12;1,92;86,91;30,43;30,43
ALLEE DES TROIS MATS (85100);5;CENTRE DE LOISIRS DE L'ARMANDECHE N°1;23,82;10;7;1,43;75,50;30,00;50,00
RUE DES SORBIERS (85340);30;OLONNESPACE;23,66;11;8;1,38;75,09;54,55;63,64
RUE EUGENE LABICHE (85180);14;SALLE CALIXTE-AIME PLISSONNEAU N°1;23,66;15;11;1,36;75,40;73,33;40,00
IMPASSE THEODORE GERICAULT (85180);15;GALERIE DES RIAUX;23,62;13;10;1,30;74,00;23,08;46,15
PLACE LOUIS XI (85100);2;AUDITORIUM SAINT-MICHEL;23,60;10;6;1,67;81,00;40,00;20,00
RUE DES BOUTONS D'OR (85340);27; GYMNASE DES CHIRONS;23,59;13;9;1,44;77,00;76,92;38,46
RUE DE LA CALYPSO (85180);18;ECOLE MATERNELLE DE LA PIRONNIERE;23,54;15;11;1,36;75,80;33,33;33,33
IMPASSE LOUIS ARAGON (85340);28;GROUPE SCOLAIRE R.G.CADOU N°1;23,54;11;9;1,22;72,45;36,36;54,55
IMPASSE EDOUARD LALO (85180);16;ECOLE PRIMAIRE DES NOUETTES;23,52;20;14;1,43;77,85;50,00;40,00
RUE DU CHAIL (85340);33;COLONIE DE SAUVETERRE;23,51;11;9;1,22;72,55;36,36;54,55
RUE PAUL BROCA (85180);15;GALERIE DES RIAUX;23,38;17;13;1,31;75,47;23,53;47,06
PROMENADE JEAN XXIII (85100);6;SALLE DES FETES DE LA CHAUME N°1;23,36;22;18;1,22;74,50;36,36;54,55
AVENUE RENE COTY [CHATEAU D'OLONNE] (85180);17;CENTRE DE LOISIRS DES PLESSES;23,32;49;41;1,20;77,71;24,49;38,78
RUE DE VERDUN (85100);8;ECOLE MATERNELLE DES JARDINS;23,16;17;13;1,31;76,24;5,88;29,41
ALLEE ALPHONSE DAUDET (85340);28;GROUPE SCOLAIRE R.G.CADOU N°1;23,07;10;7;1,43;78,00;40,00;40,00
RUE JULES RAIMU (85180);14;SALLE CALIXTE-AIME PLISSONNEAU N°1;23,03;12;10;1,20;73,83;66,67;33,33
RUE LABOURDONNAIS (85180);18;ECOLE MATERNELLE DE LA PIRONNIERE;23,02;10;8;1,25;74,60;40,00;20,00
RUE DE LA BOULANGERIE (85100);12;SALLE DES FETES DE LA CHAUME N°2;22,99;11;9;1,22;74,27;36,36;36,36
RUE DU GRAND COIN (85100);1;HOTEL DE VILLE;22,97;15;14;1,07;71,87;46,67;40,00
IMPASSE LA BOETIE (85180);36;ECOLE PRIMAIRE RENE MILLET ;22,87;11;8;1,38;77,73;36,36;18,18
ALLEE DES OLIVIERS (85340);25;MAIRIE ANNEXE D'OLONNE SUR MER ;22,72;14;11;1,27;76,57;42,86;42,86
RUE SAMUEL DE CHAMPLAIN (85180);35;SALLE AUDUBON N°2;22,40;15;10;1,50;82,33;46,67;46,67
RUE DES FRERES MARTEL (85340);30;OLONNESPACE;22,39;10;8;1,25;76,70;10,00;20,00
RUE DES CYPRES (85340);29;GROUPE SCOLAIRE R.G.CADOU N°2;22,38;17;13;1,31;78,82;70,59;35,29
RUE ALFRED DE MUSSET (85180);16;ECOLE PRIMAIRE DES NOUETTES;21,77;16;12;1,33;81,25;56,25;25,00
ALLEE DE L'ARUNDEL (85180);20;COLONIE KER-NETRA;21,58;16;13;1,23;79,81;12,50;43,75
RUE DU BOCAGE (85180);21;LA MAISON DES SPORTS;18,96;12;10;1,20;87,42;33,33;33,33
